date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:29:38	102355/102355	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202016%2006:28:04%20GMT	http://wpestatetheme.org/	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/index.html	(from )
08:29:41	35/35	---MC-	200	added ('OK')	text/plain	date:Thu,%2007%20Jan%202016%2006:29:36%20GMT	http://wpestatetheme.org/robots.txt		(from )
08:29:41	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2007%20Jan%202016%2006:29:36%20GMT	http://wpestatetheme.org/xmlrpc.php	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/xmlrpc.php	(from http://wpestatetheme.org/)
08:29:42	956/956	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202015%2008:21:06%20GMT	http://wpestatetheme.org/wp-content/plugins/dsidxpress/css/dsidx-icons.css?ver=4.3.2	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/wp-content/plugins/dsidxpress/css/dsidx-icons274c.css	(from http://wpestatetheme.org/)
08:29:43	2088/2088	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202015%2008:21:06%20GMT	http://wpestatetheme.org/wp-content/plugins/dsidxpress/css/client.css?ver=4.3.2	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/wp-content/plugins/dsidxpress/css/client274c.css	(from http://wpestatetheme.org/)
08:29:44	57040/57040	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202013%2009:05:54%20GMT	http://wpestatetheme.org/wp-content/uploads/2013/06/16.png	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/wp-content/uploads/2013/06/16.png	(from http://wpestatetheme.org/)
08:29:44	8655/8655	---MC-	200	added ('OK')	application/rss+xml	etag:%22ff108b27b1145709601e86eda0680834%22	http://wpestatetheme.org/comments/feed/	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/comments/feed/index.html	(from http://wpestatetheme.org/)
08:29:44	24260/24260	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202015%2008:21:06%20GMT	http://wpestatetheme.org/wp-content/plugins/dsidxpress/dsidxwidgets/css/client.css?ver=4.3.2	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/wp-content/plugins/dsidxpress/dsidxwidgets/css/client274c.css	(from http://wpestatetheme.org/)
08:29:45	33615/33615	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202015%2008:43:51%20GMT	http://wpestatetheme.org/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.0.7	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/wp-content/plugins/revslider/public/assets/css/settings58aa.css	(from http://wpestatetheme.org/)
08:29:46	42974/42974	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Aug%202015%2012:56:12%20GMT	http://wpestatetheme.org/wp-content/themes/wpestate/css/my_media.css?ver=1.0	C:/Users/nevzat/Desktop/EmlakPages/wpestatetheme.org/wp-content/themes/wpestate/css/my_media5152.css	(from http://wpestatetheme.org/)
